nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
psr-07-129,kota/kab pasuruan,5,gns,Minor,Major,0.74,0.26,0.74,site_code,scope_of_work
kdr1-07-025,kota/kab kediri,1,q2,Minor,Minor,0.97,0.97,0.03,site_code,scope_of_work
knr-07-036,kota/kab blitar,10,rol,Major,Major,0.85,0.15,0.85,site_code,scope_of_work
tbn-07-081,kabupaten tuban,8,gne,Minor,Minor,0.86,0.86,0.14,site_code,scope_of_work
kpn-07-127,kabupaten malang,11,gne,Minor,Major,0.79,0.21,0.79,site_code,scope_of_work
knr-07-059,kota/kab blitar,2,q2,Minor,Minor,0.8,0.8,0.2,site_code,scope_of_work
sby/07/556,kota surabaya,12,rns,Minor,Major,0.95,0.05,0.95,site_code,scope_of_work
sda-07-146,kabupaten sidoarjo,3,vw2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-174,kabupaten sidoarjo,1,a2,Minor,Minor,0.94,0.94,0.06,site_code,scope_of_work
jbg-07-010,kabupaten jombang,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
gsk-07-119,kabupaten gresik,3,pst,Minor,Minor,0.97,0.97,0.03,site_code,scope_of_work
ngw/07/074,kabupaten ngawi,7,gne,Minor,Major,0.61,0.39,0.61,site_code,scope_of_work
njk-07-036,kabupaten nganjuk,6,gne,Minor,Minor,0.522,0.522,0.478,site_code,scope_of_work
mlg/07/193,kota malang,12,rns,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
mlg-07-222,kabupaten malang,2,q2,Minor,Major,0.76,0.24,0.76,site_code,scope_of_work
kdr-07-170,kota/kab kediri,9,gne,Minor,Minor,0.73,0.73,0.27,site_code,scope_of_work
kdr2-07-026,kota/kab kediri,3,vw2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
blt-07-015,kota/kab blitar,11,gne,Minor,Major,0.91,0.09,0.91,site_code,scope_of_work
btu-07-060,kota malang,10,rns,Major,Minor,0.56,0.56,0.44,site_code,scope_of_work
lmj-07-051,kabupaten lumajang,3,m9,Major,Major,0.94,0.06,0.94,site_code,scope_of_work
jmr-07-082,kabupaten jember,10,gne,Minor,Minor,0.9275,0.9275,0.0725,site_code,scope_of_work
byw-07-164,kabupaten banyuwangi,1,q3,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
lmj/07/048,kabupaten lumajang,7,gne,Minor,Minor,0.62,0.62,0.38,site_code,scope_of_work
btu-07-038,kota malang,6,rne,Minor,Major,0.99,0.01,0.99,site_code,scope_of_work
krs-07-023,kota/kab probolinggo,3,vw2,Minor,Minor,0.72,0.72,0.28,site_code,scope_of_work
mjk2-07-001,kota/kab mojokerto,3,vw3,Minor,Major,0.77,0.23,0.77,site_code,scope_of_work
knr-07-102,kota/kab blitar,1,a2,Minor,Minor,0.8,0.8,0.2,site_code,scope_of_work
sby-07-528,kota surabaya,11,rns,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
