nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
njk-07-088,kabupaten nganjuk,1,a5,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jmr-07-088,kabupaten jember,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-279,kabupaten sidoarjo,10,rns,Major,Major,0.91,0.09,0.91,site_code,scope_of_work
sby/07/240,kota surabaya,12,m9,Minor,Major,0.95,0.05,0.95,site_code,scope_of_work
sby-07-021,kota surabaya,6,rne,Minor,Minor,0.65,0.65,0.35,site_code,scope_of_work
njk-07-031,kabupaten nganjuk,11,gne,Minor,Minor,0.92,0.92,0.08,site_code,scope_of_work
tbn-07-022,kabupaten tuban,6,rol,Major,Major,0.78,0.22,0.78,site_code,scope_of_work
sby/07/587,kota surabaya,12,rns,Minor,Minor,0.64,0.64,0.36,site_code,scope_of_work
mjy-07-049,kota/kab madiun,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby/07/371,kota surabaya,7,rns,Minor,Major,0.77,0.23,0.77,site_code,scope_of_work
sby-07-173,kota surabaya,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-093,kota malang,6,gne,Minor,Minor,0.74,0.74,0.26,site_code,scope_of_work
kdr1/07/005,kota/kab kediri,12,rol,Major,Major,0.99,0.01,0.99,site_code,scope_of_work
sby/07/622,kota surabaya,12,rns,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
mlg-07-218,kota malang,9,rns,Major,Major,0.99,0.01,0.99,site_code,scope_of_work
mgt/07/045,kabupaten magetan,7,gne,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
smp-07-016,kabupaten sumenep,6,gns,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
lmj-07-055,kabupaten lumajang,2,a2,Minor,Major,0.86,0.14,0.86,site_code,scope_of_work
png-07-011,kabupaten ponorogo,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sit-07-082,kabupaten situbondo,2,q2,Minor,Major,0.81,0.19,0.81,site_code,scope_of_work
ngw-07-025,kabupaten ngawi,5,gnp,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
btu-07-019,kota malang,1,a2,Minor,Major,0.91,0.09,0.91,site_code,scope_of_work
kdr1/07/071,kota/kab kediri,12,gne,Minor,Major,0.78,0.22,0.78,site_code,scope_of_work
mgt-07-027,kabupaten magetan,3,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
png-07-001,kabupaten ponorogo,11,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
sby-07-520,kota surabaya,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
blt-07-017,kota/kab blitar,10,gne,Minor,Major,0.83,0.17,0.83,site_code,scope_of_work
bjn-07-153,kabupaten bojonegoro,4,gne,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
kdr2-07-010,kota/kab kediri,11,pst,Minor,Minor,0.93,0.93,0.07,site_code,scope_of_work
tbn-07-068,kabupaten tuban,5,m9,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
spg-07-031,kabupaten sampang,5,m9,Major,Major,0.95,0.05,0.95,site_code,scope_of_work
sit-07-023,kabupaten situbondo,11,rol,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
sda/07/290,kabupaten sidoarjo,7,rne,Minor,Minor,0.6,0.6,0.4,site_code,scope_of_work
pmk-07-019,kabupaten pamekasan,2,m9,Major,Major,0.78,0.22,0.78,site_code,scope_of_work
sby-07-752,kota surabaya,1,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-457,kota surabaya,3,rns,Minor,Major,0.99,0.01,0.99,site_code,scope_of_work
psn/07/016,kota/kab pasuruan,8,gne,Major,Minor,0.82,0.82,0.18,site_code,scope_of_work
sda-07-054,kabupaten sidoarjo,2,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-230,kabupaten malang,5,gne,Major,Major,0.92,0.08,0.92,site_code,scope_of_work
jbg-07-108,kabupaten jombang,8,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
smp-07-068,kabupaten sumenep,2,a2p,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
lmj-07-040,kabupaten lumajang,11,gne,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
gsk-07-114,kabupaten gresik,5,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
tbn-07-084,kabupaten tuban,10,gne,Minor,Minor,0.96,0.96,0.04,site_code,scope_of_work
pbl/07/023,kota/kab probolinggo,7,gns,Minor,Minor,0.81,0.81,0.19,site_code,scope_of_work
jbg-07-087,kabupaten jombang,3,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
kpn-07-102,kabupaten malang,10,gne,Minor,Major,0.73,0.27,0.73,site_code,scope_of_work
gsk-07-061,kabupaten gresik,3,m9,Minor,Minor,0.6,0.6,0.4,site_code,scope_of_work
kpn-07-250,kabupaten malang,2,q2,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
mjk/07/056,kota/kab mojokerto,7,m9,Minor,Minor,0.69,0.69,0.31,site_code,scope_of_work
trk-07-078,kabupaten trenggalek,8,gns,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjk1-07-040,kota/kab mojokerto,6,rns,Minor,Major,0.94,0.06,0.94,site_code,scope_of_work
bjn-07-037,kabupaten bojonegoro,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
btu/07/038,kota malang,12,gns,Major,Major,0.72,0.28,0.72,site_code,scope_of_work
tbn-07-100,kabupaten tuban,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bjn/07/125,kabupaten bojonegoro,12,rns,Major,Major,0.69,0.31,0.69,site_code,scope_of_work
bdw-07-023,kabupaten bondowoso,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
byw-07-091,kabupaten banyuwangi,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg/07/038,kota malang,12,gne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
jmr-07-317,kabupaten ngawi,6,gns,Minor,Major,0.55,0.45,0.55,site_code,scope_of_work
gsk-07-092,kabupaten gresik,6,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
sby-07-154,kota surabaya,2,d2,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
sda-07-009,kabupaten sidoarjo,11,rts,Minor,Minor,0.78,0.78,0.22,site_code,scope_of_work
byw-07-081,kabupaten banyuwangi,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg-07-145,kota malang,11,gns,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
bjn-07-040,kabupaten bojonegoro,6,gns,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
sit-07-039,kabupaten situbondo,2,a2,Minor,Major,0.96,0.04,0.96,site_code,scope_of_work
lmj-07-093,kabupaten lumajang,11,pst,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
smp-07-015,kabupaten sumenep,2,b4,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-146,kota surabaya,3,vw5,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jbg-07-061,kabupaten jombang,6,gne,Minor,Minor,0.9115000000000001,0.9115000000000001,0.0885,site_code,scope_of_work
sby-07-634,kota surabaya,10,rns,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
btu/07/037,kota malang,8,gne,Major,Minor,0.77,0.77,0.23,site_code,scope_of_work
jbg-07-090,kabupaten jombang,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bkl/07/038,kabupaten bangkalan,8,gne,Minor,Major,0.71,0.29,0.71,site_code,scope_of_work
sit-07-062,kabupaten situbondo,2,a2,Minor,Major,0.7,0.3,0.7,site_code,scope_of_work
sda-07-244,kabupaten sidoarjo,2,q2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
knr-07-074,kota/kab blitar,3,vw2,Major,Major,0.99,0.01,0.99,site_code,scope_of_work
gsk-07-082,kabupaten gresik,4,gne,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
bkl/07/030,kabupaten bangkalan,7,gne,Major,Major,0.93,0.07,0.93,site_code,scope_of_work
kdr1-07-017,kota/kab kediri,2,m9,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
kpn-07-217,kabupaten malang,1,q3,Minor,Minor,0.5359999999999999,0.5359999999999999,0.4640000000000001,site_code,scope_of_work
byw/07/163,kabupaten banyuwangi,7,gne,Minor,Major,0.94,0.06,0.94,site_code,scope_of_work
png-07-030,kota surabaya,9,rol,Major,Major,0.8,0.2,0.8,site_code,scope_of_work
jmr-07-092,kabupaten jember,9,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mgt-07-070,kabupaten magetan,10,pst,Minor,Minor,0.76,0.76,0.24,site_code,scope_of_work
sda-07-063,kabupaten sidoarjo,9,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bkl/07/047,kabupaten bangkalan,7,gne,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
jmr-07-204,kabupaten jember,2,c1,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg-07-111,kota malang,1,q1,Minor,Minor,0.75,0.75,0.25,site_code,scope_of_work
jmr-07-091,kabupaten jember,2,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjk2-07-010,kota/kab mojokerto,11,gnp,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
lmg/07/091,kabupaten lamongan,7,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
jmr/07/064,kabupaten jember,12,gne,Major,Minor,0.61,0.61,0.39,site_code,scope_of_work
mjk1-07-004,kota/kab mojokerto,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
ngw/07/090,kabupaten ngawi,12,gnp,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
trk/07/041,kabupaten trenggalek,7,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
lmj-07-037,kabupaten lumajang,6,rne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
kpn-07-154,kota malang,11,rne,Minor,Major,0.77,0.23,0.77,site_code,scope_of_work
mjk1/07/049,kota/kab mojokerto,7,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
tlg-07-095,kabupaten tulungagung,6,gne,Minor,Minor,0.9925,0.9925,0.0075,site_code,scope_of_work
jbg-07-105,kabupaten jombang,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr2-07-022,kota/kab kediri,11,rol,Major,Major,0.62,0.38,0.62,site_code,scope_of_work
mjy-07-026,kota/kab madiun,10,rol,Minor,Major,0.99,0.01,0.99,site_code,scope_of_work
pct-07-023,kabupaten pacitan,3,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-552,kota surabaya,9,rns,Minor,Minor,0.56,0.56,0.44,site_code,scope_of_work
gsk-07-004,kabupaten gresik,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn/07/091,kabupaten malang,7,gne,Minor,Major,0.76,0.24,0.76,site_code,scope_of_work
mjk1-07-016,kota/kab mojokerto,3,vw2,Minor,Minor,0.68,0.68,0.32,site_code,scope_of_work
pct/07/023,kabupaten pacitan,7,gne,Minor,Major,0.63,0.37,0.63,site_code,scope_of_work
bjn-07-074,kabupaten bojonegoro,9,gns,Minor,Minor,0.87,0.87,0.13,site_code,scope_of_work
sit-07-057,kabupaten situbondo,10,m9,Major,Minor,0.63,0.63,0.37,site_code,scope_of_work
kdr-07-122,kota/kab kediri,4,rne,Major,Minor,0.52,0.52,0.48,site_code,scope_of_work
sby-07-219,kota surabaya,5,gne,Minor,Minor,0.97,0.97,0.03,site_code,scope_of_work
sda-07-162,kabupaten sidoarjo,11,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
mgt-07-028,kabupaten magetan,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bdw-07-025,kabupaten bondowoso,3,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-158,kota surabaya,6,gns,Major,Minor,0.98,0.98,0.02,site_code,scope_of_work
kpn-07-066,kabupaten malang,10,gne,Minor,Minor,0.78,0.78,0.22,site_code,scope_of_work
sby-07-049,kota surabaya,9,gne,Minor,Minor,0.96,0.96,0.04,site_code,scope_of_work
knr-07-084,kota/kab blitar,9,gns,Major,Major,0.56,0.44,0.56,site_code,scope_of_work
jmr-07-075,kabupaten jember,1,q2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
kdr1/07/080,kota/kab kediri,12,gns,Major,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr2-07-019,kota/kab kediri,4,gne,Minor,Minor,0.85,0.85,0.15,site_code,scope_of_work
byw/07/101,kabupaten banyuwangi,7,gne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
gsk/07/056,kabupaten gresik,12,gne,Minor,Minor,0.97,0.97,0.03,site_code,scope_of_work
lmj-07-067,kabupaten lumajang,6,gne,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
sit-07-066,kabupaten situbondo,2,a2,Minor,Minor,0.71,0.71,0.29,site_code,scope_of_work
mlg-07-111,kota malang,3,vw3,Minor,Minor,0.6716666666666667,0.6716666666666667,0.3283333333333333,site_code,scope_of_work
kpn-07-188,kabupaten malang,6,gne,Major,Major,0.88,0.12,0.88,site_code,scope_of_work
byw-07-023,kabupaten banyuwangi,10,gnp,Minor,Minor,0.63,0.63,0.37,site_code,scope_of_work
lmg-07-045,kabupaten lamongan,6,gne,Minor,Major,0.6,0.4,0.6,site_code,scope_of_work
ngw/07/114,kabupaten ngawi,7,m9,Major,Major,0.71,0.29,0.71,site_code,scope_of_work
jmr-07-180,kabupaten jember,9,gns,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjy-07-089,kota/kab madiun,6,gnp,Minor,Minor,0.94,0.94,0.06,site_code,scope_of_work
mlg-07-097,kota malang,10,rne,Minor,Major,0.99,0.01,0.99,site_code,scope_of_work
sda-07-171,kabupaten sidoarjo,10,rns,Minor,Major,0.82,0.18,0.82,site_code,scope_of_work
bjn-07-119,kabupaten bojonegoro,10,gne,Minor,Minor,0.93,0.93,0.07,site_code,scope_of_work
knr-07-002,kota/kab blitar,5,rol,Major,Major,0.98,0.02,0.98,site_code,scope_of_work
kdr-07-127,kota/kab kediri,4,rne,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
byw-07-088,kabupaten banyuwangi,6,gne,Minor,Minor,0.5271666666666667,0.5271666666666667,0.4728333333333333,site_code,scope_of_work
kdr-07-127,kota/kab kediri,5,rne,Major,Major,0.98,0.02,0.98,site_code,scope_of_work
lmj/07/090,kabupaten lumajang,12,gns,Minor,Major,0.89,0.11,0.89,site_code,scope_of_work
png-07-077,kabupaten ponorogo,8,gns,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
smp-07-083,kabupaten sumenep,11,gne,Minor,Minor,0.94,0.94,0.06,site_code,scope_of_work
jmr-07-092,kabupaten jember,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-103,kota surabaya,8,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjy-07-131,kota/kab madiun,11,gne,Minor,Major,0.8233333333333333,0.17666666666666667,0.8233333333333333,site_code,scope_of_work
sby-07-407,kota surabaya,2,q3,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bjn-07-011,kabupaten bojonegoro,3,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mgt/07/077,kabupaten magetan,12,rns,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
knr-07-088,kota/kab blitar,5,gne,Minor,Major,0.76,0.24,0.76,site_code,scope_of_work
sda-07-002,kabupaten sidoarjo,9,rts,Minor,Minor,0.86,0.86,0.14,site_code,scope_of_work
sby-07-164,kota surabaya,9,rol,Minor,Minor,0.55,0.55,0.45,site_code,scope_of_work
png-07-061,kabupaten ponorogo,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-144,kabupaten sidoarjo,11,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-051,kabupaten sidoarjo,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-487,kota surabaya,11,rns,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
jmr-07-137,kabupaten jember,3,vw2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
tlg-07-040,kabupaten tulungagung,9,gne,Minor,Minor,0.97,0.97,0.03,site_code,scope_of_work
krs-07-053,kota/kab probolinggo,3,gne,Minor,Minor,0.53,0.53,0.47,site_code,scope_of_work
psr-07-073,kota/kab pasuruan,4,gne,Major,Major,0.81,0.19,0.81,site_code,scope_of_work
pmk-07-050,kabupaten pamekasan,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
tlg-07-019,kabupaten tulungagung,5,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
gsk-07-106,kabupaten gresik,8,m9,Minor,Major,0.79,0.21,0.79,site_code,scope_of_work
pmk/07/040,kabupaten pamekasan,8,gne,Major,Minor,0.87,0.87,0.13,site_code,scope_of_work
sby-07-106,kota surabaya,8,rne,Minor,Major,0.99,0.01,0.99,site_code,scope_of_work
kpn-07-070,kabupaten malang,5,gne,Minor,Minor,0.6,0.6,0.4,site_code,scope_of_work
ngw-07-043,kabupaten ngawi,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mad-07-006,kota/kab madiun,10,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
lmj/07/025,kabupaten lumajang,12,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
bjn-07-040,kabupaten bojonegoro,1,q2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
pbl-07-012,kota/kab probolinggo,2,a2,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
bjn-07-089,kabupaten bojonegoro,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
psr/07/091,kota/kab pasuruan,7,gns,Minor,Major,0.79,0.21,0.79,site_code,scope_of_work
psr-07-140,kota/kab pasuruan,2,f1,Major,Minor,0.9,0.9,0.1,site_code,scope_of_work
pct-07-038,kabupaten pacitan,5,gne,Minor,Major,0.61,0.39,0.61,site_code,scope_of_work
pmk-07-002,kabupaten pamekasan,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sit-07-043,kabupaten situbondo,3,gne,Minor,Minor,0.84,0.84,0.16,site_code,scope_of_work
jmr-07-252,kabupaten jember,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-051,kabupaten sidoarjo,2,m9,Minor,Major,0.97,0.03,0.97,site_code,scope_of_work
krs/07/030,kota/kab probolinggo,12,gne,Minor,Major,0.74,0.26,0.74,site_code,scope_of_work
mjy-07-029,kota/kab madiun,5,rol,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
mjy-07-080,kota/kab madiun,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bjn-07-113,kabupaten bojonegoro,11,gne,Minor,Major,0.83,0.17,0.83,site_code,scope_of_work
mjk-07-046,kota/kab mojokerto,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr/07/122,kota/kab kediri,7,rne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
bdw-07-045,kabupaten bondowoso,10,gns,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjk1-07-017,kota/kab mojokerto,3,vw2,Major,Major,0.82,0.18,0.82,site_code,scope_of_work
tbn-07-039,kabupaten tuban,10,gne,Minor,Minor,0.96,0.96,0.04,site_code,scope_of_work
bjn-07-043,kabupaten bojonegoro,9,gnp,Minor,Major,0.71,0.29,0.71,site_code,scope_of_work
bdw-07-058,kabupaten bondowoso,10,gns,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
tlg/07/061,kabupaten tulungagung,7,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
pbl/07/017,kota/kab probolinggo,8,gne,Minor,Major,0.8,0.2,0.8,site_code,scope_of_work
kpn-07-015,kabupaten malang,4,gne,Minor,Major,0.6,0.4,0.6,site_code,scope_of_work
gsk-07-068,kabupaten gresik,1,f2,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
tlg-07-002,kabupaten tulungagung,8,rol,Minor,Minor,0.59,0.59,0.41,site_code,scope_of_work
tbn-07-011,kabupaten tuban,3,gne,Major,Major,0.94,0.06,0.94,site_code,scope_of_work
jmr-07-260,kabupaten jember,5,rne,Minor,Major,0.92,0.08,0.92,site_code,scope_of_work
trk-07-043,kabupaten trenggalek,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jbg-07-061,kabupaten jombang,3,gne,Major,Minor,0.72,0.72,0.28,site_code,scope_of_work
mlg-07-076,kota malang,6,pst,Minor,Minor,0.6746666666666666,0.6746666666666666,0.3253333333333333,site_code,scope_of_work
mjk/07/089,kota/kab mojokerto,7,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
spg-07-017,kabupaten sampang,9,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg-07-081,kota malang,3,gne,Minor,Major,0.74,0.26,0.74,site_code,scope_of_work
kdr2-07-027,kota/kab kediri,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
pct-07-072,kabupaten pacitan,1,a2,Minor,Major,0.78,0.22,0.78,site_code,scope_of_work
lmg-07-032,kabupaten lamongan,11,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jmr/07/095,kabupaten jember,8,gne,Minor,Major,0.93,0.07,0.93,site_code,scope_of_work
tbn-07-073,kabupaten tuban,1,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-150,kota surabaya,6,pst,Minor,Minor,0.91,0.91,0.09,site_code,scope_of_work
jmr-07-057,kabupaten jember,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-644,kota surabaya,6,rne,Minor,Major,0.58,0.42,0.58,site_code,scope_of_work
tlg-07-040,kabupaten tulungagung,1,m5,Major,Major,0.96,0.04,0.96,site_code,scope_of_work
jmr-07-225,kabupaten jember,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
psr/07/094,kota/kab pasuruan,8,gns,Minor,Minor,0.69,0.69,0.31,site_code,scope_of_work
mjy-07-044,kota/kab madiun,9,gnp,Minor,Major,0.67,0.33,0.67,site_code,scope_of_work
jbg-07-098,kabupaten jombang,1,q3,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bdw-07-047,kabupaten bondowoso,2,q2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
sby-07-240,kota surabaya,4,rns,Major,Minor,0.96,0.96,0.04,site_code,scope_of_work
bkl/07/007,kabupaten bangkalan,8,gne,Minor,Major,0.51,0.49,0.51,site_code,scope_of_work
lmj/07/003,kabupaten lumajang,12,gne,Minor,Major,0.83,0.17,0.83,site_code,scope_of_work
psr-07-138,kota/kab pasuruan,11,rns,Major,Major,0.94,0.06,0.94,site_code,scope_of_work
bdw-07-010,kabupaten bondowoso,10,rol,Major,Major,0.71,0.29,0.71,site_code,scope_of_work
kpn-07-089,kabupaten malang,5,gne,Major,Major,0.96,0.04,0.96,site_code,scope_of_work
sby-07-071,kota surabaya,2,m9,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
tbn-07-067,kabupaten tuban,1,a2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
sby-07-061,kota surabaya,6,rne,Major,Major,0.76,0.24,0.76,site_code,scope_of_work
gsk-07-072,kabupaten gresik,5,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
bkl-07-015,kabupaten bangkalan,2,m9,Minor,Minor,0.58,0.58,0.42,site_code,scope_of_work
lmj-07-016,kabupaten lumajang,11,gne,Major,Major,0.73,0.27,0.73,site_code,scope_of_work
psr/07/205,kota/kab pasuruan,12,gne,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
jmr-07-140,kabupaten jember,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby/07/213,kota surabaya,12,gne,Minor,Minor,0.69,0.69,0.31,site_code,scope_of_work
krs/07/002,kota/kab probolinggo,7,gne,Minor,Major,0.66,0.34,0.66,site_code,scope_of_work
gsk-07-009,kabupaten gresik,11,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
psn/07/031,kota/kab pasuruan,8,gne,Minor,Minor,0.64,0.64,0.36,site_code,scope_of_work
mlg/07/214,kota malang,7,rne,Major,Major,0.79,0.21,0.79,site_code,scope_of_work
smp-07-056,kabupaten sumenep,3,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-065,kabupaten malang,5,gne,Minor,Minor,0.5623333333333334,0.5623333333333334,0.43766666666666665,site_code,scope_of_work
bjn-07-058,kabupaten bojonegoro,1,q2,Minor,Minor,0.68,0.68,0.32,site_code,scope_of_work
knr-07-071,kota/kab blitar,11,gne,Minor,Major,0.88,0.12,0.88,site_code,scope_of_work
sby-07-506,kota surabaya,10,rns,Minor,Major,0.8425,0.1575,0.8425,site_code,scope_of_work
bkl-07-037,kabupaten bangkalan,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
tbn-07-053,kabupaten tuban,3,gne,Minor,Major,0.8,0.2,0.8,site_code,scope_of_work
mjk1-07-023,kota/kab mojokerto,9,gnp,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
psr/07/008,kota/kab pasuruan,7,gne,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
tbn-07-136,kabupaten tuban,3,vw2,Minor,Minor,0.62,0.62,0.38,site_code,scope_of_work
sda-07-271,kabupaten sidoarjo,8,rne,Minor,Minor,0.75,0.75,0.25,site_code,scope_of_work
mjk1-07-071,kota/kab mojokerto,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-608,kota surabaya,8,rne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
kpn/07/106,kabupaten malang,8,gne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
mlg/07/033,kota malang,7,m9,Minor,Major,0.94,0.06,0.94,site_code,scope_of_work
sit-07-029,kabupaten situbondo,6,gne,Major,Minor,0.8,0.8,0.2,site_code,scope_of_work
krs-07-024,kota/kab probolinggo,3,gne,Major,Major,0.58,0.42,0.58,site_code,scope_of_work
njk-07-082,kabupaten nganjuk,6,gnp,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
jmr-07-053,kabupaten jember,11,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg/07/007,kota malang,7,pst,Major,Minor,0.62,0.62,0.38,site_code,scope_of_work
njk/07/078,kabupaten nganjuk,12,gne,Minor,Major,0.68,0.32,0.68,site_code,scope_of_work
mlg-07-263,kota malang,11,gne,Major,Major,0.82,0.18,0.82,site_code,scope_of_work
sby/07/609,kota surabaya,12,rns,Major,Major,0.7,0.3,0.7,site_code,scope_of_work
krs-07-012,kota/kab probolinggo,11,rol,Major,Minor,0.91,0.91,0.09,site_code,scope_of_work
gsk-07-023,kabupaten gresik,3,vw2,Major,Minor,0.9,0.9,0.1,site_code,scope_of_work
